Lesson ID,CEFR Level,Major Domain,Scenario,English Lesson Title,Vietnamese Lesson Title,Primary Communication Goal,EN Word Target,Actual Bilingual A4 Page Target,Main Character,Secondary Character Rule,Status
0323,A1,Weather,checking an important detail about weather & daily plans,Asking and answering simple questions about checking an important detail about weather & daily plans,Giao tiếp cơ bản: weather & daily plans — checking an important detail about weather & daily plans,ask and answer simple questions about checking an important detail about weather & daily plans; complete the exchange naturally at A1.,260–380,3,Ms Lan,Mr David (or another context-appropriate named Mr/Ms character),PLANNED
0324,A1,Daily Life,checking an important detail about daily routines,Asking and answering simple questions about checking an important detail about daily routines,Giao tiếp cơ bản: daily routines — checking an important detail about daily routines,ask and answer simple questions about checking an important detail about daily routines; complete the exchange naturally at A1.,260–380,3,Ms Lan,Ms Emma (or another context-appropriate named Mr/Ms character),PLANNED
0325,A1,Learning,checking an important detail about school & learning,Asking and answering simple questions about checking an important detail about school & learning,Giao tiếp cơ bản: school & learning — checking an important detail about school & learning,ask and answer simple questions about checking an important detail about school & learning; complete the exchange naturally at A1.,260–380,3,Ms Lan,Mr James (or another context-appropriate named Mr/Ms character),PLANNED
0326,A1,Work,checking an important detail about workplace everyday communication,Asking and answering simple questions about checking an important detail about workplace everyday communication,Giao tiếp cơ bản: workplace everyday communication — checking an important detail about workplace everyday communication,ask and answer simple questions about checking an important detail about workplace everyday communication; complete the exchange naturally at A1.,260–380,3,Ms Lan,Ms Sarah (or another context-appropriate named Mr/Ms character),PLANNED
0327,A1,Communication,checking an important detail about phone calls,Asking and answering simple questions about checking an important detail about phone calls,Giao tiếp cơ bản: phone calls — checking an important detail about phone calls,ask and answer simple questions about checking an important detail about phone calls; complete the exchange naturally at A1.,260–380,3,Ms Lan,Mr Daniel (or another context-appropriate named Mr/Ms character),PLANNED
0328,A1,Communication,checking an important detail about messages & everyday digital communication,Asking and answering simple questions about checking an important detail about messages & everyday digital communication,Giao tiếp cơ bản: messages & everyday digital communication — checking an important detail about messages & everyday digital communication,ask and answer simple questions about checking an important detail about messages & everyday digital communication; complete the exchange naturally at A1.,260–380,3,Ms Lan,Ms Olivia (or another context-appropriate named Mr/Ms character),PLANNED
0329,A1,Scheduling,checking an important detail about appointments & schedules,Asking and answering simple questions about checking an important detail about appointments & schedules,Giao tiếp cơ bản: appointments & schedules — checking an important detail about appointments & schedules,ask and answer simple questions about checking an important detail about appointments & schedules; complete the exchange naturally at A1.,260–380,3,Ms Lan,Mr Thomas (or another context-appropriate named Mr/Ms character),PLANNED
0330,A1,Eating Out,checking an important detail about restaurants & cafés,Asking and answering simple questions about checking an important detail about restaurants & cafés,Giao tiếp cơ bản: restaurants & cafés — checking an important detail about restaurants & cafés,ask and answer simple questions about checking an important detail about restaurants & cafés; complete the exchange naturally at A1.,260–380,3,Ms Lan,Ms Sophie (or another context-appropriate named Mr/Ms character),PLANNED
0331,A1,Travel,checking an important detail about hotels & accommodation,Asking and answering simple questions about checking an important detail about hotels & accommodation,Giao tiếp cơ bản: hotels & accommodation — checking an important detail about hotels & accommodation,ask and answer simple questions about checking an important detail about hotels & accommodation; complete the exchange naturally at A1.,260–380,3,Ms Lan,Mr Michael (or another context-appropriate named Mr/Ms character),PLANNED
0332,A1,Travel,checking an important detail about airports & flights,Asking and answering simple questions about checking an important detail about airports & flights,Giao tiếp cơ bản: airports & flights — checking an important detail about airports & flights,ask and answer simple questions about checking an important detail about airports & flights; complete the exchange naturally at A1.,260–380,3,Ms Lan,Ms Grace (or another context-appropriate named Mr/Ms character),PLANNED
0333,A1,Travel,checking an important detail about train & coach travel,Asking and answering simple questions about checking an important detail about train & coach travel,Giao tiếp cơ bản: train & coach travel — checking an important detail about train & coach travel,ask and answer simple questions about checking an important detail about train & coach travel; complete the exchange naturally at A1.,260–380,3,Ms Lan,Mr Henry (or another context-appropriate named Mr/Ms character),PLANNED
0334,A1,Driving,"checking an important detail about driving, parking & fuel","Asking and answering simple questions about checking an important detail about driving, parking & fuel","Giao tiếp cơ bản: driving, parking & fuel — checking an important detail about driving, parking & fuel","ask and answer simple questions about checking an important detail about driving, parking & fuel; complete the exchange naturally at A1.",260–380,3,Ms Lan,Ms Anna (or another context-appropriate named Mr/Ms character),PLANNED
0335,A1,Health Services,checking an important detail about health services & pharmacy,Asking and answering simple questions about checking an important detail about health services & pharmacy,Giao tiếp cơ bản: health services & pharmacy — checking an important detail about health services & pharmacy,ask and answer simple questions about checking an important detail about health services & pharmacy; complete the exchange naturally at A1.,260–380,3,Ms Lan,Mr David (or another context-appropriate named Mr/Ms character),PLANNED
0336,A1,Wellbeing,checking an important detail about fitness & wellbeing routines,Asking and answering simple questions about checking an important detail about fitness & wellbeing routines,Giao tiếp cơ bản: fitness & wellbeing routines — checking an important detail about fitness & wellbeing routines,ask and answer simple questions about checking an important detail about fitness & wellbeing routines; complete the exchange naturally at A1.,260–380,3,Ms Lan,Ms Emma (or another context-appropriate named Mr/Ms character),PLANNED
0337,A1,Services,checking an important detail about personal care services,Asking and answering simple questions about checking an important detail about personal care services,Giao tiếp cơ bản: personal care services — checking an important detail about personal care services,ask and answer simple questions about checking an important detail about personal care services; complete the exchange naturally at A1.,260–380,3,Ms Lan,Mr James (or another context-appropriate named Mr/Ms character),PLANNED
0338,A1,Money,checking an important detail about banking & everyday money,Asking and answering simple questions about checking an important detail about banking & everyday money,Giao tiếp cơ bản: banking & everyday money — checking an important detail about banking & everyday money,ask and answer simple questions about checking an important detail about banking & everyday money; complete the exchange naturally at A1.,260–380,3,Ms Lan,Ms Sarah (or another context-appropriate named Mr/Ms character),PLANNED
0339,A1,Services,"checking an important detail about post, courier & deliveries","Asking and answering simple questions about checking an important detail about post, courier & deliveries","Giao tiếp cơ bản: post, courier & deliveries — checking an important detail about post, courier & deliveries","ask and answer simple questions about checking an important detail about post, courier & deliveries; complete the exchange naturally at A1.",260–380,3,Ms Lan,Mr Daniel (or another context-appropriate named Mr/Ms character),PLANNED
0340,A1,Services,checking an important detail about repairs & home services,Asking and answering simple questions about checking an important detail about repairs & home services,Giao tiếp cơ bản: repairs & home services — checking an important detail about repairs & home services,ask and answer simple questions about checking an important detail about repairs & home services; complete the exchange naturally at A1.,260–380,3,Ms Lan,Ms Olivia (or another context-appropriate named Mr/Ms character),PLANNED
0341,A1,Personal Identity,where you live,Asking and answering simple questions about where you live,Giao tiếp cơ bản: personal identity & introductions — where you live,ask and answer simple questions about where you live; complete the exchange naturally at A1.,260–380,3,Ms Lan,Mr Thomas (or another context-appropriate named Mr/Ms character),PLANNED
0342,A1,Social Basics,saying thank you,Asking and answering simple questions about saying thank you,Giao tiếp cơ bản: greetings & basic social contact — saying thank you,ask and answer simple questions about saying thank you; complete the exchange naturally at A1.,260–380,3,Ms Lan,Ms Sophie (or another context-appropriate named Mr/Ms character),PLANNED
0343,A1,Numbers and Time,today's date,Asking and answering simple questions about today's date,"Giao tiếp cơ bản: numbers, dates & time — today's date",ask and answer simple questions about today's date; complete the exchange naturally at A1.,260–380,3,Ms Lan,Mr Michael (or another context-appropriate named Mr/Ms character),PLANNED
0344,A1,Home,something you need at home,Asking and answering simple questions about something you need at home,Giao tiếp cơ bản: home & household — something you need at home,ask and answer simple questions about something you need at home; complete the exchange naturally at A1.,260–380,3,Ms Lan,Ms Grace (or another context-appropriate named Mr/Ms character),PLANNED
0345,A1,Family,a simple family relationship,Asking and answering simple questions about a simple family relationship,Giao tiếp cơ bản: family & relationships — a simple family relationship,ask and answer simple questions about a simple family relationship; complete the exchange naturally at A1.,260–380,3,Ms Lan,Mr Henry (or another context-appropriate named Mr/Ms character),PLANNED
0346,A1,Food,saying you are hungry or thirsty,Asking and answering simple questions about saying you are hungry or thirsty,Giao tiếp cơ bản: food & drink — saying you are hungry or thirsty,ask and answer simple questions about saying you are hungry or thirsty; complete the exchange naturally at A1.,260–380,3,Ms Lan,Ms Anna (or another context-appropriate named Mr/Ms character),PLANNED
0347,A1,Shopping,asking for help with shopping & payments,Asking and answering simple questions about asking for help with shopping & payments,Giao tiếp cơ bản: shopping & payments — asking for help with shopping & payments,ask and answer simple questions about asking for help with shopping & payments; complete the exchange naturally at A1.,260–380,3,Ms Lan,Mr David (or another context-appropriate named Mr/Ms character),PLANNED
0348,A1,Clothing,asking for help with clothing & personal items,Asking and answering simple questions about asking for help with clothing & personal items,Giao tiếp cơ bản: clothing & personal items — asking for help with clothing & personal items,ask and answer simple questions about asking for help with clothing & personal items; complete the exchange naturally at A1.,260–380,3,Ms Lan,Ms Emma (or another context-appropriate named Mr/Ms character),PLANNED
0349,A1,Neighbourhood,asking for help with neighbourhood & directions,Asking and answering simple questions about asking for help with neighbourhood & directions,Giao tiếp cơ bản: neighbourhood & directions — asking for help with neighbourhood & directions,ask and answer simple questions about asking for help with neighbourhood & directions; complete the exchange naturally at A1.,260–380,3,Ms Lan,Mr James (or another context-appropriate named Mr/Ms character),PLANNED
0350,A1,Transport,asking for help with public transport,Asking and answering simple questions about asking for help with public transport,Giao tiếp cơ bản: public transport — asking for help with public transport,ask and answer simple questions about asking for help with public transport; complete the exchange naturally at A1.,260–380,3,Ms Lan,Ms Sarah (or another context-appropriate named Mr/Ms character),PLANNED
0351,A1,Transport,asking for help with taxi & ride services,Asking and answering simple questions about asking for help with taxi & ride services,Giao tiếp cơ bản: taxi & ride services — asking for help with taxi & ride services,ask and answer simple questions about asking for help with taxi & ride services; complete the exchange naturally at A1.,260–380,3,Ms Lan,Mr Daniel (or another context-appropriate named Mr/Ms character),PLANNED
0352,A1,Mobility,asking for help with walking & getting around,Asking and answering simple questions about asking for help with walking & getting around,Giao tiếp cơ bản: walking & getting around — asking for help with walking & getting around,ask and answer simple questions about asking for help with walking & getting around; complete the exchange naturally at A1.,260–380,3,Ms Lan,Ms Olivia (or another context-appropriate named Mr/Ms character),PLANNED
0353,A1,Weather,asking for help with weather & daily plans,Asking and answering simple questions about asking for help with weather & daily plans,Giao tiếp cơ bản: weather & daily plans — asking for help with weather & daily plans,ask and answer simple questions about asking for help with weather & daily plans; complete the exchange naturally at A1.,260–380,3,Ms Lan,Mr Thomas (or another context-appropriate named Mr/Ms character),PLANNED
0354,A1,Daily Life,asking for help with daily routines,Asking and answering simple questions about asking for help with daily routines,Giao tiếp cơ bản: daily routines — asking for help with daily routines,ask and answer simple questions about asking for help with daily routines; complete the exchange naturally at A1.,260–380,3,Ms Lan,Ms Sophie (or another context-appropriate named Mr/Ms character),PLANNED
0355,A1,Learning,asking for help with school & learning,Asking and answering simple questions about asking for help with school & learning,Giao tiếp cơ bản: school & learning — asking for help with school & learning,ask and answer simple questions about asking for help with school & learning; complete the exchange naturally at A1.,260–380,3,Ms Lan,Mr Michael (or another context-appropriate named Mr/Ms character),PLANNED
0356,A1,Work,asking for help with workplace everyday communication,Asking and answering simple questions about asking for help with workplace everyday communication,Giao tiếp cơ bản: workplace everyday communication — asking for help with workplace everyday communication,ask and answer simple questions about asking for help with workplace everyday communication; complete the exchange naturally at A1.,260–380,3,Ms Lan,Ms Grace (or another context-appropriate named Mr/Ms character),PLANNED
0357,A1,Communication,asking for help with phone calls,Asking and answering simple questions about asking for help with phone calls,Giao tiếp cơ bản: phone calls — asking for help with phone calls,ask and answer simple questions about asking for help with phone calls; complete the exchange naturally at A1.,260–380,3,Ms Lan,Mr Henry (or another context-appropriate named Mr/Ms character),PLANNED
0358,A1,Communication,asking for help with messages & everyday digital communication,Asking and answering simple questions about asking for help with messages & everyday digital communication,Giao tiếp cơ bản: messages & everyday digital communication — asking for help with messages & everyday digital communication,ask and answer simple questions about asking for help with messages & everyday digital communication; complete the exchange naturally at A1.,260–380,3,Ms Lan,Ms Anna (or another context-appropriate named Mr/Ms character),PLANNED
0359,A1,Scheduling,asking for help with appointments & schedules,Asking and answering simple questions about asking for help with appointments & schedules,Giao tiếp cơ bản: appointments & schedules — asking for help with appointments & schedules,ask and answer simple questions about asking for help with appointments & schedules; complete the exchange naturally at A1.,260–380,3,Ms Lan,Mr David (or another context-appropriate named Mr/Ms character),PLANNED
0360,A1,Eating Out,asking for help with restaurants & cafés,Asking and answering simple questions about asking for help with restaurants & cafés,Giao tiếp cơ bản: restaurants & cafés — asking for help with restaurants & cafés,ask and answer simple questions about asking for help with restaurants & cafés; complete the exchange naturally at A1.,260–380,3,Ms Lan,Ms Emma (or another context-appropriate named Mr/Ms character),PLANNED
0361,A1,Travel,asking for help with hotels & accommodation,Asking and answering simple questions about asking for help with hotels & accommodation,Giao tiếp cơ bản: hotels & accommodation — asking for help with hotels & accommodation,ask and answer simple questions about asking for help with hotels & accommodation; complete the exchange naturally at A1.,260–380,3,Ms Lan,Mr James (or another context-appropriate named Mr/Ms character),PLANNED
0362,A1,Travel,asking for help with airports & flights,Asking and answering simple questions about asking for help with airports & flights,Giao tiếp cơ bản: airports & flights — asking for help with airports & flights,ask and answer simple questions about asking for help with airports & flights; complete the exchange naturally at A1.,260–380,3,Ms Lan,Ms Sarah (or another context-appropriate named Mr/Ms character),PLANNED
0363,A1,Travel,asking for help with train & coach travel,Asking and answering simple questions about asking for help with train & coach travel,Giao tiếp cơ bản: train & coach travel — asking for help with train & coach travel,ask and answer simple questions about asking for help with train & coach travel; complete the exchange naturally at A1.,260–380,3,Ms Lan,Mr Daniel (or another context-appropriate named Mr/Ms character),PLANNED
0364,A1,Driving,"asking for help with driving, parking & fuel","Asking and answering simple questions about asking for help with driving, parking & fuel","Giao tiếp cơ bản: driving, parking & fuel — asking for help with driving, parking & fuel","ask and answer simple questions about asking for help with driving, parking & fuel; complete the exchange naturally at A1.",260–380,3,Ms Lan,Ms Olivia (or another context-appropriate named Mr/Ms character),PLANNED
0365,A1,Health Services,asking for help with health services & pharmacy,Asking and answering simple questions about asking for help with health services & pharmacy,Giao tiếp cơ bản: health services & pharmacy — asking for help with health services & pharmacy,ask and answer simple questions about asking for help with health services & pharmacy; complete the exchange naturally at A1.,260–380,3,Ms Lan,Mr Thomas (or another context-appropriate named Mr/Ms character),PLANNED
0366,A1,Wellbeing,asking for help with fitness & wellbeing routines,Asking and answering simple questions about asking for help with fitness & wellbeing routines,Giao tiếp cơ bản: fitness & wellbeing routines — asking for help with fitness & wellbeing routines,ask and answer simple questions about asking for help with fitness & wellbeing routines; complete the exchange naturally at A1.,260–380,3,Ms Lan,Ms Sophie (or another context-appropriate named Mr/Ms character),PLANNED
0367,A1,Services,asking for help with personal care services,Asking and answering simple questions about asking for help with personal care services,Giao tiếp cơ bản: personal care services — asking for help with personal care services,ask and answer simple questions about asking for help with personal care services; complete the exchange naturally at A1.,260–380,3,Ms Lan,Mr Michael (or another context-appropriate named Mr/Ms character),PLANNED
0368,A1,Money,asking for help with banking & everyday money,Asking and answering simple questions about asking for help with banking & everyday money,Giao tiếp cơ bản: banking & everyday money — asking for help with banking & everyday money,ask and answer simple questions about asking for help with banking & everyday money; complete the exchange naturally at A1.,260–380,3,Ms Lan,Ms Grace (or another context-appropriate named Mr/Ms character),PLANNED
0369,A1,Services,"asking for help with post, courier & deliveries","Asking and answering simple questions about asking for help with post, courier & deliveries","Giao tiếp cơ bản: post, courier & deliveries — asking for help with post, courier & deliveries","ask and answer simple questions about asking for help with post, courier & deliveries; complete the exchange naturally at A1.",260–380,3,Ms Lan,Mr Henry (or another context-appropriate named Mr/Ms character),PLANNED
0370,A1,Services,asking for help with repairs & home services,Asking and answering simple questions about asking for help with repairs & home services,Giao tiếp cơ bản: repairs & home services — asking for help with repairs & home services,ask and answer simple questions about asking for help with repairs & home services; complete the exchange naturally at A1.,260–380,3,Ms Lan,Ms Anna (or another context-appropriate named Mr/Ms character),PLANNED
0371,A1,Personal Identity,your age,Asking and answering simple questions about your age,Giao tiếp cơ bản: personal identity & introductions — your age,ask and answer simple questions about your age; complete the exchange naturally at A1.,260–380,3,Ms Lan,Mr David (or another context-appropriate named Mr/Ms character),PLANNED
0372,A1,Social Basics,saying sorry,Asking and answering simple questions about saying sorry,Giao tiếp cơ bản: greetings & basic social contact — saying sorry,ask and answer simple questions about saying sorry; complete the exchange naturally at A1.,260–380,3,Ms Lan,Ms Emma (or another context-appropriate named Mr/Ms character),PLANNED
0373,A1,Numbers and Time,the day of the week,Asking and answering simple questions about the day of the week,"Giao tiếp cơ bản: numbers, dates & time — the day of the week",ask and answer simple questions about the day of the week; complete the exchange naturally at A1.,260–380,3,Ms Lan,Mr James (or another context-appropriate named Mr/Ms character),PLANNED
0374,A1,Home,opening or closing something,Asking and answering simple questions about opening or closing something,Giao tiếp cơ bản: home & household — opening or closing something,ask and answer simple questions about opening or closing something; complete the exchange naturally at A1.,260–380,3,Ms Lan,Ms Sarah (or another context-appropriate named Mr/Ms character),PLANNED
0375,A1,Family,where a family member is,Asking and answering simple questions about where a family member is,Giao tiếp cơ bản: family & relationships — where a family member is,ask and answer simple questions about where a family member is; complete the exchange naturally at A1.,260–380,3,Ms Lan,Mr Daniel (or another context-appropriate named Mr/Ms character),PLANNED
0376,A1,Food,asking what something is,Asking and answering simple questions about asking what something is,Giao tiếp cơ bản: food & drink — asking what something is,ask and answer simple questions about asking what something is; complete the exchange naturally at A1.,260–380,3,Ms Lan,Ms Olivia (or another context-appropriate named Mr/Ms character),PLANNED
0377,A1,Shopping,a change or choice involving shopping & payments,Asking and answering simple questions about a change or choice involving shopping & payments,Giao tiếp cơ bản: shopping & payments — a change or choice involving shopping & payments,ask and answer simple questions about a change or choice involving shopping & payments; complete the exchange naturally at A1.,260–380,3,Ms Lan,Mr Thomas (or another context-appropriate named Mr/Ms character),PLANNED
0378,A1,Clothing,a change or choice involving clothing & personal items,Asking and answering simple questions about a change or choice involving clothing & personal items,Giao tiếp cơ bản: clothing & personal items — a change or choice involving clothing & personal items,ask and answer simple questions about a change or choice involving clothing & personal items; complete the exchange naturally at A1.,260–380,3,Ms Lan,Ms Sophie (or another context-appropriate named Mr/Ms character),PLANNED
0379,A1,Neighbourhood,a change or choice involving neighbourhood & directions,Asking and answering simple questions about a change or choice involving neighbourhood & directions,Giao tiếp cơ bản: neighbourhood & directions — a change or choice involving neighbourhood & directions,ask and answer simple questions about a change or choice involving neighbourhood & directions; complete the exchange naturally at A1.,260–380,3,Ms Lan,Mr Michael (or another context-appropriate named Mr/Ms character),PLANNED
0380,A1,Transport,a change or choice involving public transport,Asking and answering simple questions about a change or choice involving public transport,Giao tiếp cơ bản: public transport — a change or choice involving public transport,ask and answer simple questions about a change or choice involving public transport; complete the exchange naturally at A1.,260–380,3,Ms Lan,Ms Grace (or another context-appropriate named Mr/Ms character),PLANNED
0381,A1,Transport,a change or choice involving taxi & ride services,Asking and answering simple questions about a change or choice involving taxi & ride services,Giao tiếp cơ bản: taxi & ride services — a change or choice involving taxi & ride services,ask and answer simple questions about a change or choice involving taxi & ride services; complete the exchange naturally at A1.,260–380,3,Ms Lan,Mr Henry (or another context-appropriate named Mr/Ms character),PLANNED
0382,A1,Mobility,a change or choice involving walking & getting around,Asking and answering simple questions about a change or choice involving walking & getting around,Giao tiếp cơ bản: walking & getting around — a change or choice involving walking & getting around,ask and answer simple questions about a change or choice involving walking & getting around; complete the exchange naturally at A1.,260–380,3,Ms Lan,Ms Anna (or another context-appropriate named Mr/Ms character),PLANNED
0383,A1,Weather,a change or choice involving weather & daily plans,Asking and answering simple questions about a change or choice involving weather & daily plans,Giao tiếp cơ bản: weather & daily plans — a change or choice involving weather & daily plans,ask and answer simple questions about a change or choice involving weather & daily plans; complete the exchange naturally at A1.,260–380,3,Ms Lan,Mr David (or another context-appropriate named Mr/Ms character),PLANNED
0384,A1,Daily Life,a change or choice involving daily routines,Asking and answering simple questions about a change or choice involving daily routines,Giao tiếp cơ bản: daily routines — a change or choice involving daily routines,ask and answer simple questions about a change or choice involving daily routines; complete the exchange naturally at A1.,260–380,3,Ms Lan,Ms Emma (or another context-appropriate named Mr/Ms character),PLANNED
0385,A1,Learning,a change or choice involving school & learning,Asking and answering simple questions about a change or choice involving school & learning,Giao tiếp cơ bản: school & learning — a change or choice involving school & learning,ask and answer simple questions about a change or choice involving school & learning; complete the exchange naturally at A1.,260–380,3,Ms Lan,Mr James (or another context-appropriate named Mr/Ms character),PLANNED
0386,A1,Work,a change or choice involving workplace everyday communication,Asking and answering simple questions about a change or choice involving workplace everyday communication,Giao tiếp cơ bản: workplace everyday communication — a change or choice involving workplace everyday communication,ask and answer simple questions about a change or choice involving workplace everyday communication; complete the exchange naturally at A1.,260–380,3,Ms Lan,Ms Sarah (or another context-appropriate named Mr/Ms character),PLANNED
0387,A1,Communication,a change or choice involving phone calls,Asking and answering simple questions about a change or choice involving phone calls,Giao tiếp cơ bản: phone calls — a change or choice involving phone calls,ask and answer simple questions about a change or choice involving phone calls; complete the exchange naturally at A1.,260–380,3,Ms Lan,Mr Daniel (or another context-appropriate named Mr/Ms character),PLANNED
0388,A1,Communication,a change or choice involving messages & everyday digital communication,Asking and answering simple questions about a change or choice involving messages & everyday digital communication,Giao tiếp cơ bản: messages & everyday digital communication — a change or choice involving messages & everyday digital communication,ask and answer simple questions about a change or choice involving messages & everyday digital communication; complete the exchange naturally at A1.,260–380,3,Ms Lan,Ms Olivia (or another context-appropriate named Mr/Ms character),PLANNED
0389,A1,Scheduling,a change or choice involving appointments & schedules,Asking and answering simple questions about a change or choice involving appointments & schedules,Giao tiếp cơ bản: appointments & schedules — a change or choice involving appointments & schedules,ask and answer simple questions about a change or choice involving appointments & schedules; complete the exchange naturally at A1.,260–380,3,Ms Lan,Mr Thomas (or another context-appropriate named Mr/Ms character),PLANNED
0390,A1,Eating Out,a change or choice involving restaurants & cafés,Asking and answering simple questions about a change or choice involving restaurants & cafés,Giao tiếp cơ bản: restaurants & cafés — a change or choice involving restaurants & cafés,ask and answer simple questions about a change or choice involving restaurants & cafés; complete the exchange naturally at A1.,260–380,3,Ms Lan,Ms Sophie (or another context-appropriate named Mr/Ms character),PLANNED
0391,A1,Travel,a change or choice involving hotels & accommodation,Asking and answering simple questions about a change or choice involving hotels & accommodation,Giao tiếp cơ bản: hotels & accommodation — a change or choice involving hotels & accommodation,ask and answer simple questions about a change or choice involving hotels & accommodation; complete the exchange naturally at A1.,260–380,3,Ms Lan,Mr Michael (or another context-appropriate named Mr/Ms character),PLANNED
0392,A1,Travel,a change or choice involving airports & flights,Asking and answering simple questions about a change or choice involving airports & flights,Giao tiếp cơ bản: airports & flights — a change or choice involving airports & flights,ask and answer simple questions about a change or choice involving airports & flights; complete the exchange naturally at A1.,260–380,3,Ms Lan,Ms Grace (or another context-appropriate named Mr/Ms character),PLANNED
0393,A1,Travel,a change or choice involving train & coach travel,Asking and answering simple questions about a change or choice involving train & coach travel,Giao tiếp cơ bản: train & coach travel — a change or choice involving train & coach travel,ask and answer simple questions about a change or choice involving train & coach travel; complete the exchange naturally at A1.,260–380,3,Ms Lan,Mr Henry (or another context-appropriate named Mr/Ms character),PLANNED
0394,A1,Driving,"a change or choice involving driving, parking & fuel","Asking and answering simple questions about a change or choice involving driving, parking & fuel","Giao tiếp cơ bản: driving, parking & fuel — a change or choice involving driving, parking & fuel","ask and answer simple questions about a change or choice involving driving, parking & fuel; complete the exchange naturally at A1.",260–380,3,Ms Lan,Ms Anna (or another context-appropriate named Mr/Ms character),PLANNED
0395,A1,Health Services,a change or choice involving health services & pharmacy,Asking and answering simple questions about a change or choice involving health services & pharmacy,Giao tiếp cơ bản: health services & pharmacy — a change or choice involving health services & pharmacy,ask and answer simple questions about a change or choice involving health services & pharmacy; complete the exchange naturally at A1.,260–380,3,Ms Lan,Mr David (or another context-appropriate named Mr/Ms character),PLANNED
0396,A1,Wellbeing,a change or choice involving fitness & wellbeing routines,Asking and answering simple questions about a change or choice involving fitness & wellbeing routines,Giao tiếp cơ bản: fitness & wellbeing routines — a change or choice involving fitness & wellbeing routines,ask and answer simple questions about a change or choice involving fitness & wellbeing routines; complete the exchange naturally at A1.,260–380,3,Ms Lan,Ms Emma (or another context-appropriate named Mr/Ms character),PLANNED
0397,A1,Services,a change or choice involving personal care services,Asking and answering simple questions about a change or choice involving personal care services,Giao tiếp cơ bản: personal care services — a change or choice involving personal care services,ask and answer simple questions about a change or choice involving personal care services; complete the exchange naturally at A1.,260–380,3,Ms Lan,Mr James (or another context-appropriate named Mr/Ms character),PLANNED
0398,A1,Money,a change or choice involving banking & everyday money,Asking and answering simple questions about a change or choice involving banking & everyday money,Giao tiếp cơ bản: banking & everyday money — a change or choice involving banking & everyday money,ask and answer simple questions about a change or choice involving banking & everyday money; complete the exchange naturally at A1.,260–380,3,Ms Lan,Ms Sarah (or another context-appropriate named Mr/Ms character),PLANNED
0399,A1,Services,"a change or choice involving post, courier & deliveries","Asking and answering simple questions about a change or choice involving post, courier & deliveries","Giao tiếp cơ bản: post, courier & deliveries — a change or choice involving post, courier & deliveries","ask and answer simple questions about a change or choice involving post, courier & deliveries; complete the exchange naturally at A1.",260–380,3,Ms Lan,Mr Daniel (or another context-appropriate named Mr/Ms character),PLANNED
0400,A1,Services,a change or choice involving repairs & home services,Asking and answering simple questions about a change or choice involving repairs & home services,Giao tiếp cơ bản: repairs & home services — a change or choice involving repairs & home services,ask and answer simple questions about a change or choice involving repairs & home services; complete the exchange naturally at A1.,260–380,3,Ms Lan,Ms Olivia (or another context-appropriate named Mr/Ms character),PLANNED
0401,A1,Personal Identity,your phone number,Asking and answering simple questions about your phone number,Giao tiếp cơ bản: personal identity & introductions — your phone number,ask and answer simple questions about your phone number; complete the exchange naturally at A1.,260–380,3,Ms Lan,Mr Thomas (or another context-appropriate named Mr/Ms character),PLANNED
0402,A1,Social Basics,getting someone's attention politely,Asking and answering simple questions about getting someone's attention politely,Giao tiếp cơ bản: greetings & basic social contact — getting someone's attention politely,ask and answer simple questions about getting someone's attention politely; complete the exchange naturally at A1.,260–380,3,Ms Lan,Ms Sophie (or another context-appropriate named Mr/Ms character),PLANNED
0403,A1,Numbers and Time,the current time,Asking and answering simple questions about the current time,"Giao tiếp cơ bản: numbers, dates & time — the current time",ask and answer simple questions about the current time; complete the exchange naturally at A1.,260–380,3,Ms Lan,Mr Michael (or another context-appropriate named Mr/Ms character),PLANNED
0404,A1,Home,a simple household instruction,Asking and answering simple questions about a simple household instruction,Giao tiếp cơ bản: home & household — a simple household instruction,ask and answer simple questions about a simple household instruction; complete the exchange naturally at A1.,260–380,3,Ms Lan,Ms Grace (or another context-appropriate named Mr/Ms character),PLANNED
0405,A1,Family,a simple family plan,Asking and answering simple questions about a simple family plan,Giao tiếp cơ bản: family & relationships — a simple family plan,ask and answer simple questions about a simple family plan; complete the exchange naturally at A1.,260–380,3,Ms Lan,Mr Henry (or another context-appropriate named Mr/Ms character),PLANNED
0406,A1,Food,a basic meal choice,Asking and answering simple questions about a basic meal choice,Giao tiếp cơ bản: food & drink — a basic meal choice,ask and answer simple questions about a basic meal choice; complete the exchange naturally at A1.,260–380,3,Ms Lan,Ms Anna (or another context-appropriate named Mr/Ms character),PLANNED
0407,A1,Shopping,a misunderstanding or problem involving shopping & payments,Asking and answering simple questions about a misunderstanding or problem involving shopping & payments,Giao tiếp cơ bản: shopping & payments — a misunderstanding or problem involving shopping & payments,ask and answer simple questions about a misunderstanding or problem involving shopping & payments; complete the exchange naturally at A1.,260–380,3,Ms Lan,Mr David (or another context-appropriate named Mr/Ms character),PLANNED
0408,A1,Clothing,a misunderstanding or problem involving clothing & personal items,Asking and answering simple questions about a misunderstanding or problem involving clothing & personal items,Giao tiếp cơ bản: clothing & personal items — a misunderstanding or problem involving clothing & personal items,ask and answer simple questions about a misunderstanding or problem involving clothing & personal items; complete the exchange naturally at A1.,260–380,3,Ms Lan,Ms Emma (or another context-appropriate named Mr/Ms character),PLANNED
